sea_surface_temperature,lat,lon
4.0940824,-1.0807234,1.0873445
0.14909256,-6.3682137,-1.1330504
-0.8031298,-6.139608,-0.6576895
-0.74388987,-3.6093812,-1.5691777
-0.5512538,3.518957,-2.0952768
-1.0157889,5.7637806,0.6748657
-1.0998877,-3.4864523,-0.8689332
-0.44120172,-5.88284,-0.53276545
-1.050364,-5.770314,0.693253
-0.7501404,-2.5394845,0.6380368
0.34215996,-3.567741,-2.1716926
0.35870528,-3.7951047,-1.2793483
0.30871516,-2.5440059,-0.6492028
1.8516972,2.7617497,1.1976005
-1.9665267,-2.9468193,-2.6324944
-0.9462615,-5.928612,-0.03414698
-0.22774996,-6.340535,-0.18759264
1.3154752,3.3086936,-0.06130891
1.4745227,-2.6926804,-0.36607686
1.5107523,3.8648632,0.79435337
-1.4284912,3.0457277,2.8031158
0.1459995,-1.228792,-1.8354474
-0.4832811,3.7278905,-1.253216
-1.2197602,-3.9834473,-1.196363
-0.92637163,-5.233162,-0.5040528
-0.8481132,-4.0880594,-0.30763364
-2.0486162,-3.3708682,0.5880259
0.82041204,2.1367075,0.47528943
1.330105,1.1981831,1.6759217
2.4355052,1.4578615,1.454626
0.24487908,-6.309637,-1.1683128
2.5743833,1.263941,0.79654515
-0.42619577,-2.936502,-0.11987065
0.7679616,-6.067257,-0.60669583
1.0676894,1.4235117,-0.53983253
-0.9912768,-5.82813,-0.24138811
3.2965791,1.3256129,0.8349812
1.29287,0.9232752,1.904193
-0.03308257,-4.8779874,-0.971173
0.6542316,0.96892023,3.1696355
-1.1265281,-5.7812285,0.010261511
-1.1024095,-4.5093093,-0.11959721
0.47669783,-5.8375535,-1.8741778
-1.3319759,3.6949222,1.3687369
-3.0487084,-4.1610756,0.4934018
-3.3380501,-2.5991797,0.73627716
-1.0902303,-5.9918213,-0.11050072
0.19154003,4.586595,-0.096716404
-2.5539348,-3.4277835,-0.8511182
-1.0010768,-3.8782992,-0.21429665
1.6034306,3.2600996,0.76162714
-0.8748937,-4.0653777,-0.7314807
0.7004995,-5.0955496,-0.39687476
-1.2817596,3.499638,2.1954885
-1.5198965,-3.135419,-1.3949263
-0.122612454,-3.021689,-0.47551793
-0.8928034,-5.767002,0.044327125
-0.63328284,3.4918835,-0.62199926
1.2532115,2.4829595,-0.037422843
-0.39115077,-5.8805585,-0.5423124
-0.8920805,-5.910663,0.031332664
-0.6775732,-2.8625693,-0.03945885
-0.10520006,-6.5307064,-0.09920208
-0.41340023,-5.8750153,-0.5683922
-0.008953555,-5.9527917,-0.5053447
-0.18971479,-5.8033032,-0.32576418
-0.56328845,3.7324533,-0.702196
-1.9838808,6.942307,0.48943064
-0.1742443,-4.0094404,-2.4070632
-2.9515748,1.8186039,-2.2718408
0.2495036,-1.3579544,-3.0092638
-0.835785,-4.0056524,-0.49901712
-0.7029253,-0.31317708,-0.5268253
1.4074414,3.215727,0.7644135
1.2173439,1.9211599,-1.7703468
-0.9454698,-4.2792516,-0.44661862
-0.8153596,-6.0908937,-0.6941743
-1.6430517,7.2664757,-1.2661934
-1.3821054,3.1834116,2.5338032
3.981255,-0.20909502,0.9407484
0.40835026,-3.023501,-3.3155422
1.2400861,3.1112108,-1.8704122
0.8767511,1.0350668,2.7914767
-1.9576528,-3.888923,-0.23146118
-0.048082344,-6.5086646,-0.11943367
-0.22357343,-6.190848,-1.5796866
-1.054268,-5.7420483,-0.27057278
-0.68650156,-5.7530465,-1.3737588
-0.22803055,-6.1374917,-0.28876278
-1.1413708,-4.613048,-0.7309256
-0.6850386,-5.5275655,-0.50675875
1.734459,-4.948373,0.37679267
-2.8323953,-3.6446311,-0.28952643
0.11832533,-6.2561555,-0.55791473
0.55518085,1.0077406,-3.102838
-1.1118937,-5.821815,0.8338139
0.46046293,4.3186016,0.48447752
-0.7001386,-6.0679502,-0.40708426
-2.9881861,-3.2484505,-0.78224885
1.5030392,3.8624723,0.80445695
0.4284171,0.29953632,-0.08311826
-0.96616846,-5.7787805,-0.28940058
4.299925,-0.8066848,0.07513501
1.4360934,3.4832163,0.73318994
-0.9371411,-4.6158175,-0.78759086
-0.23214275,-6.4194617,-0.20356622
0.54111475,0.9052905,-2.6821864
-2.7166202,-2.406052,0.002729972
-1.7979069,3.5882013,0.12998872
2.1745176,0.3643405,2.908541
4.3309293,-0.39154226,1.0928787
-0.9782185,-3.5678408,-2.6760244
-0.6612347,-5.465768,-0.59236044
-0.8588847,-5.650424,-0.45369536
-1.0184957,-5.755004,0.0020888178
0.114276595,-6.2178707,-0.59215075
-0.9654484,-4.0263,-0.81148076
-1.4869069,-5.554846,0.2391688
-0.05319649,-6.447038,-0.35493597
0.040495895,3.9441092,-1.1617645
0.47717845,0.0870857,-0.8591277
-1.9005548,2.3225253,-1.090044
-1.8395402,-4.3221464,0.22583543
1.264819,4.494703,0.6767655
0.7502061,4.5979104,0.14170651
1.0493224,4.151535,0.3536646
-0.3378019,-0.77925664,-0.9116343
-2.5445526,-3.9130418,-0.511692
0.071924396,0.49826574,-0.40353587
